Year,Netflix,Amazon Prime,Disney+,Hulu
2017,6.4,,,
2021,7.1,,,
2008,7.2,,,
2018,7.2,,,
2017,7.2,,,
2009,5.8,,,5.8
2012,6.3,,,6.3
2013,7.6,,,
2018,7.7,,,
2018,6.4,,,
2021,6.3,,,
2013,7.2,,,
2017,7.1,,,
2009,7.5,,,
2015,6.6,6.6,,
2008,6.5,6.5,,6.5
2018,7.0,,,
2008,6.5,,,
2010,7.1,,,
2009,6.6,,,
2009,6.7,,,
2008,6.6,,,
2011,6.2,6.2,,
2017,6.8,,,
2017,6.9,,,
2012,7.0,,,
2019,7.1,,,
2018,6.5,,,
2020,6.8,,,
2015,7.7,,,
2018,5.8,,,
2020,6.5,,,
2016,6.4,,,
2017,6.9,,,
2016,8.4,,,
2020,6.9,,,
2019,6.7,,,
2010,6.5,,,
2019,6.1,,,
2010,7.5,,,
2018,7.4,,,
2011,6.6,,,
2002,6.2,,,
2018,6.0,,,
2016,6.6,,,
2020,6.2,,,
2001,8.1,,,
1999,7.2,7.2,,
2019,7.1,,,
2015,8.0,,,
2012,6.2,,,
2001,6.5,,,
2021,7.2,,,
2017,6.8,,,
2019,5.8,,,
2020,5.8,,,
2015,6.7,,,
2018,6.7,,,
2020,6.9,,,
2019,7.1,,,
2007,6.2,,,6.2
2019,6.3,,,
2017,6.8,,,
2017,7.3,,,
2021,7.7,,,
2020,6.2,,,
2018,5.9,,,
2009,6.4,,,
2008,5.2,5.2,,
2015,6.5,,,
2019,6.9,,,
2012,7.0,,,
2020,6.1,,,
2021,6.8,,,
2016,6.1,,,
2021,6.0,,,
2017,6.7,,,
2017,7.9,,,7.9
2016,6.6,,,
2016,6.7,,,
2013,6.5,,,
2005,7.3,,,
2002,6.9,,,
2015,6.8,,,
2018,6.9,,,
2019,7.3,,,
2016,6.7,,,
2013,7.5,,,
2019,6.4,6.4,,
2006,7.3,,,
2000,6.7,,,
2014,7.1,,,
2017,6.3,,,
2008,6.2,,,
2014,6.7,,,
2010,6.4,6.4,,
2017,6.2,,,
2017,6.2,,,
2004,6.6,6.6,,
2017,6.7,,,
2007,6.7,6.7,,
2016,6.4,,,
2018,6.9,,,
2012,6.4,,,6.4
2017,6.2,,,
2018,6.1,,,
2006,6.8,,,
2002,6.4,,,
2004,8.0,,,
2019,5.8,,,
2019,6.1,,,
2014,8.2,,,
2010,6.5,,,
2017,6.2,,,
2013,7.2,,,
1998,7.6,,,
2014,7.5,,,
2016,6.9,,,
2008,6.8,,,
2013,6.3,,,
2013,6.7,,,
2017,8.2,,,
2018,6.9,,,
2013,6.4,,,
2013,6.4,,,
2009,5.8,,,
2013,6.5,,,
2015,8.2,,,
2019,6.4,,,
2016,6.3,,,
2021,5.6,,,
2006,6.6,,,
2019,6.7,,,
2008,7.4,,,
2020,6.0,,,
2017,5.8,5.8,,
2020,6.7,,,
2015,6.1,,,
2018,6.4,,,
1993,6.6,,,
2010,6.0,,,
2017,8.1,,,
2020,6.6,,,
2004,7.1,,,
2007,6.7,6.7,,
2012,5.5,,,
2017,6.5,,,
2018,6.5,,,
1997,6.3,,,
2007,6.1,,,
2015,7.0,,,
2017,6.5,,,
2017,6.3,,,
2019,5.3,,,
2014,6.2,,,
2013,8.4,,,
2018,7.6,7.6,,
2019,5.7,,,
2012,6.5,,,
2015,5.3,,,
2016,6.3,,,
2010,5.8,,,5.8
2006,6.4,,,
2019,7.2,,,
2018,7.2,,,
2011,8.2,,,
2017,6.4,,,
2018,7.4,,,
2017,7.0,,,
2018,6.0,,,
2019,6.8,,,
2019,7.1,,,
2019,7.5,,,
2020,6.7,,,
2019,7.0,,,
2019,6.3,,,
2017,7.4,,,7.4
2020,6.6,,,
2014,6.8,,,
2015,7.1,,,
2006,8.1,,,
2020,5.6,,,
2016,6.4,,,
1954,7.6,,,
2020,6.2,,,
2018,6.6,,,
2019,7.9,,,
2019,7.2,,,
2020,6.5,,,
2010,6.3,6.3,,
2019,7.2,,,
2017,7.5,7.5,,
2017,6.9,,,
1979,7.6,,,
2008,6.6,,,
2021,6.7,,,
2005,6.2,,,
2019,6.2,,,
2014,6.9,,,
2019,7.2,,,
2018,6.0,,,
1999,6.5,,,
2020,5.4,,,
2012,8.1,,,
2016,5.8,,,
2020,5.9,,,
2009,7.1,,,
1982,7.9,,,
2013,6.2,,,
1986,6.1,,,
2019,7.8,,,
1992,6.5,,,
2017,6.6,,,
2013,7.7,,,
2020,5.7,,,
2011,5.7,,,
2018,6.6,6.6,,
2017,6.3,,,
2016,6.4,,,
2008,6.5,,,
2020,7.2,,,
2018,6.3,,,
2013,6.5,6.5,,
1994,6.3,,,
2005,6.2,6.2,,
2016,6.8,,,
2017,8.3,,,
2019,5.6,,,
2014,7.6,7.6,,
2017,6.6,,,
2018,7.5,,,
2018,6.6,,,6.6
2019,6.7,,,
1999,5.9,,,
2016,6.3,,,
2004,6.1,,,
2016,7.0,,,
2014,8.1,,,
2010,5.0,,,
2016,6.3,,,
2004,6.4,,,
2008,6.5,,,
2012,8.1,,,
2018,6.9,,,
2005,6.4,,,
2019,5.9,,,
2001,5.7,5.7,,
2018,5.5,,,
2020,8.2,,,
2015,6.1,,,
2013,6.5,,,
2021,6.2,,,
2011,7.1,,,
2018,6.5,,,
2009,6.2,6.2,,
2021,5.4,,,
2007,7.5,,,
2020,6.0,,,
2018,6.9,,,
2011,4.9,,,
2017,7.2,,,
2017,5.9,,,
2018,5.9,,,
2016,6.9,,,
2018,6.9,,,
2018,6.1,,,
